Sample.Name,ID,Continent,Country,Region,Strain,Collection,Latitude,Longitude,Year.of.Collection,Pot.Field,Host,Status_world,Status_ext_eur,Status_recent_ext_eur,Mating.type,fs_level_1,fs_level_2,fs_level_3,fs_level_4,fs_level_5,fs_level_6,fs_level_7,fs_level_8,fs_level_9,fs_level_10,anc1,anc2,anc3,anc4,anc5,anc6,anc7,anc8,anc9
CHN_37-34,SRR7299516,Asia,China,China: Hebei,tritici,Before 2022,38.066667,114.483333,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,0.028615,1E-05,1.2E-05,1E-05,1E-05,0.971312
CHN_37-38,SRR7299505,Asia,China,China: Hebei,tritici,Before 2022,38.066667,114.483333,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.015276,1E-05,1E-05,1E-05,1E-05,1E-05,0.984654
CHN_39-1,SRR7299504,Asia,China,China: Hebei,tritici,Before 2022,36.6,114.483333,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,0.0728,1E-05,1E-05,1E-05,1E-05,0.92713
CHN_39-19,SRR7299503,Asia,China,China: Hebei,tritici,Before 2022,36.6,114.483333,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_39-5,SRR7299497,Asia,China,China: Hebei,tritici,Before 2022,36.6,114.483333,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,0.038232,1E-05,1E-05,1E-05,1E-05,0.961698
CHN_40-2,SRR7299501,Asia,China,China: Shandong,tritici,Before 2022,36.666667,116.983333,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,0.036036,1E-05,1.6E-05,1E-05,1E-05,0.963889
CHN_45-10,SRR4042188,Asia,China,China: Gansu,tritici,Before 2022,34.765556,105.291667,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.035452,1E-05,1E-05,0.208849,1E-05,1E-05,0.755639
CHN_45-6,SRR4042192,Asia,China,China: Anhui,tritici,Before 2022,34.765556,105.291667,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,0.065644,1E-05,1E-05,1E-05,1E-05,0.934286
CHN_46-30,SRR4042194,Asia,China,China: Gansu,tritici,Before 2022,34.765556,105.291667,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.028507,1E-05,1E-05,0.175574,1E-05,1E-05,0.795859
CHN_47-1,SRR7299498,Asia,China,China: Gansu,tritici,Before 2022,32.916667,104.766667,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_47-3,SRR4042193,Asia,China,China: Ganzu,tritici,Before 2022,32.916667,104.766667,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.026993,1E-05,1E-05,0.191239,1E-05,1E-05,0.781708
CHN_49-1,SRR7299459,Asia,China,China: Xinjiang,tritici,Before 2022,43.916667,81.316667,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.051948,1E-05,1E-05,0.083481,1E-05,1E-05,0.864511
CHN_5-112,SRR7299460,Asia,China,China: Shanxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,0.000101,1E-05,0.010981,1E-05,1E-05,0.716532,1E-05,0.272336
CHN_5-36,SRR7299461,Asia,China,China: Shanxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.018037,1E-05,1E-05,1E-05,1E-05,1E-05,0.981893
CHN_5-83,SRR4042200,Asia,China,China: Shannxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.025669,1E-05,1E-05,0.07255,1E-05,1E-05,0.901722
CHN_5-93,SRR7299462,Asia,China,China: Shanxi,tritici,Before 2022,34.283333,107.75,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1.9E-05,1E-05,1E-05,1E-05,1E-05,0.999911
CHN_50-2,SRR7299463,Asia,China,China: Xinjiang,tritici,Before 2022,43.916667,81.316667,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,0.082984,1E-05,1E-05,1E-05,1E-05,0.916946
CHN_51-3,SRR7299464,Asia,China,China: Xinjiang,tritici,Before 2022,43.451111,83.147778,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1.9E-05,1E-05,1E-05,1E-05,1E-05,0.999911
CHN_6-6,SRR7299450,Asia,China,China: Shannxi,tritici,Before 2022,34.411389,107.699722,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_6-69,SRR4042201,Asia,China,China: Shannxi,tritici,Before 2022,34.411389,107.699722,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_7-8,SRR4042202,Asia,China,China: Shannxi,tritici,Before 2022,34.158,108.214,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_9-2,SRR7299478,Asia,China,China: Yunnan,tritici,Before 2022,24.45,98.6,2011,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_E21,SRR7299492,Asia,China,China: Beijing,tritici,Before 2022,39.916667,116.383333,2011,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_GZ-10,SRR7299491,Asia,China,China: Guizhou,tritici,Before 2022,26.65,106.633333,2013,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_GZ-6,SRR7299493,Asia,China,China: Guizhou,tritici,Before 2022,26.65,106.633333,2013,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.036045,1E-05,1E-05,0.129411,1E-05,1E-05,0.834484
CHN_HB-13,SRR7299508,Asia,China,China: Hubei,tritici,Before 2022,32.017,112.133,2013,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.0139,0.006609,1E-05,1E-05,1.1E-05,1E-05,0.97943
CHN_HB-21,SRR7299482,Asia,China,China: Hubei,tritici,Before 2022,32.133333,112.75,2013,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,0.047709,1E-05,1E-05,1E-05,1E-05,0.952221
CHN_HB-22,SRR7299455,Asia,China,China: Hubei,tritici,Before 2022,32.264,111.653,2013,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,0.088072,1E-05,0.025019,1E-05,1E-05,0.88685
CHN_HB-24,SRR7299456,Asia,China,China: Hubei,tritici,Before 2022,32.264,111.653,2013,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,0.040104,1E-05,1E-05,0.155419,1E-05,1E-05,0.804417
CHN_HG-1,SRR7299454,Asia,China,China: Hubei,tritici,Before 2022,30.45,114.8,2013,,,Included,Excluded,Excluded,1_2_1,,,,,,,,,,,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992
CHN_SC-12,SRR7299452,Asia,China,China: Sichuan,tritici,Before 2022,30.657,104.066,2013,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.020554,1E-05,1E-05,0.212276,1E-05,1E-05,0.76711
CHN_SD-3,SRR7299475,Asia,China,China: Shandong,tritici,Before 2022,36.2004,117.087,2013,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,1E-05,0.069126,1E-05,1E-05,1E-05,1E-05,0.930804
CHN_SD-5,SRR4042190,Asia,China,China: Shandong,tritici,Before 2022,36.2004,117.087,2013,,,Included,Excluded,Excluded,1_1_3,,,,,,,,,,,1E-05,1E-05,0.035378,1E-05,1E-05,1E-05,1E-05,1E-05,0.964552
CHNY072301,CHNY072301,Europe,Switzerland,Nyon,tritici,2023,46.39858333,6.23344444,2023,Field,,Included,Included,Included,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,0.007263,1E-05,1E-05,1E-05,1E-05,0.992667,1E-05,1E-05,1E-05
CHST042201,CHST042201,Europe,Switzerland,Stäfa,tritici,2022,47.236404,8.734663,2022,Pot,6n,Included,Included,Included,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,0.016728,1E-05,1E-05,1E-05,1E-05,0.983202,1E-05,1E-05,1E-05
CHTG062201,CHTG062201,Europe,Switzerland,Thurgau,tritici,2022,47.55395789,9.226681129,2022,Pot,4n,Included,Included,Included,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05,1E-05,1E-05
CHVD042201,CHVD042201,Europe,Switzerland,Begnins Vaud,tritici,2022,46.45,6.25,2022,Field,,Included,Included,Included,1_2_1,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05,1E-05,1E-05
CHZR022201,CHZR022201,Europe,Switzerland,Zurich,tritici,2022,47.356058,8.59774,2022,Pot,6n,Included,Included,Included,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR2,N_EUR2,E_EUR2,0.055052,1E-05,1E-05,1E-05,1E-05,0.926534,0.014714,1E-05,0.00365
CHZR042202,CHZR042202,Europe,Switzerland,Zurich,tritici,2022,47.407442,8.559812,2022,Pot,4n,Included,Included,Included,1_1_3,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR,N_EUR_TUR,N_EUR1,N_EUR1,N_EUR1,1E-05,1E-05,1E-05,1E-05,1E-05,0.99992,1E-05,1E-05,1E-05
