Sample.Name,ID,Continent,Country,Region,Strain,Collection,Latitude,Longitude,Year.of.Collection,Pot.Field,Host,Status_world,Status_ext_eur,Status_recent_ext_eur,fs_level1,fs_level2,fs_level3,fs_level4,fs_level5,fs_level6,fs_level7,fs_level8,anc1,anc2,anc3,anc4,anc5,anc6,anc7,Mating.type
Bg_DAC_CHE1,SRR12606682,Europe,Switzerland,Switzerland,dactylidis,Before 2022,NA,NA,,,,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,
BU-18,SRR2153089,Europe,Belgium,Belgium: Bocholt,triticale,Before 2022,NA,NA,2009/2010,,,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_2_1
CAP-39,SRR2153091,Europe,France,France: Cappelle-en-Pevele,triticale,Before 2022,NA,NA,2009/2010,,,Excluded,Excluded,Excluded,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1_1_3
CHE_07224,SRR11548211,Europe,Switzerland,Switzerland,tritici,Before 2022,NA,NA,2007,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHE_07227,SRR11548210,Europe,Switzerland,Switzerland,tritici,Before 2022,NA,NA,2007,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHE_07230,SRR11548209,Europe,Switzerland,Switzerland,tritici,Before 2022,NA,NA,2007,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHE_07234,SRR11548208,Europe,Switzerland,Switzerland,tritici,Before 2022,NA,NA,2007,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.999934,1.6E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHE_07298,SRR11548207,Europe,Switzerland,Switzerland,tritici,Before 2022,NA,NA,2007,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe2,old_Europe2,0.973214,0.026736,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHE_10001,SRR11548206,Europe,Switzerland,Switzerland,tritici,Before 2022,47.42886,8.515962,2010,,,Included,Included,Excluded,N_Europe,N_Europe,NW_Europe,NW_Europe,NW_Europe,NW_Europe,NW_Europe,NW_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_1_3
CHE_7004,SRR2153097,Europe,Switzerland,Switzerland,tritici,Before 2022,47.42886,8.515962,2007,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe,N_Europe2,0.99994,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1_2_1
CHE_96229,SRR11548205,Europe,Switzerland,Switzerland,tritici,Before 2022,47.53277778,8.85972222,1996,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe1,old_Europe1,0.896313,0.0244,1E-05,1E-05,0.062029,1E-05,0.017228,1_2_1
CHE_96249,SRR11548204,Europe,Switzerland,Switzerland,tritici,Before 2022,46.54777778,6.41527778,1996,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe1,old_Europe1,0.862465,0.056716,1E-05,1E-05,0.080779,1E-05,1E-05,1_2_1
CHE_97223,SRR11548203,Europe,Switzerland,Switzerland,tritici,Before 2022,47.06694444,7.24916667,1997,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe1,old_Europe1,0.914945,0.057211,1E-05,1E-05,0.005496,0.013867,0.00846,1_1_3
CHE_97266,SRR11548201,Europe,Switzerland,Switzerland,tritici,Before 2022,46.84166667,6.96638889,1997,,,Included,Included,Excluded,N_Europe,N_Europe,N_Europe,N_Europe,Europe_NE+old,old_Europe_N,old_Europe1,old_Europe1,0.65537,0.171465,1E-05,1E-05,0.173124,1E-05,1E-05,1_1_3
