hap_class,hap_id
1,FRBE052202_1_avrpm17_cds
1,FRCL052201_1_avrpm17_cds
1,FRCL052202_1_avrpm17_cds
1,FRCL052301_1_avrpm17_cds
1,FRCL052302_1_avrpm17_cds
1,FRCO042202_1_avrpm17_cds
1,FRCO042203_1_avrpm17_cds
1,FRCO042204_1_avrpm17_cds
1,FRMP052201_1_avrpm17_cds
1,FRMP052202_1_avrpm17_cds
1,FRMP052203_1_avrpm17_cds
1,FRMP052204_1_avrpm17_cds
1,FRMP052206_1_avrpm17_cds
1,FRMU052302_1_avrpm17_cds
1,FRNE052204_1_avrpm17_cds
1,FRNE052205_1_avrpm17_cds
1,FRNE052208_1_avrpm17_cds
1,FRRI052203_1_avrpm17_cds
1,FRRI052204_1_avrpm17_cds
1,FRRN052301_1_avrpm17_cds
1,FRSA042201_1_avrpm17_cds
1,FRSA042202_1_avrpm17_cds
1,FRSB042201_1_avrpm17_cds
1,FRSB042203_1_avrpm17_cds
1,FRSD062201_1_avrpm17_cds
1,FRSD062202_1_avrpm17_cds
1,FRSD062204_1_avrpm17_cds
1,FRSG052301_1_avrpm17_cds
1,FRSG052302_1_avrpm17_cds
1,GRTH052302_1_avrpm17_cds
1,HUMV062206_1_avrpm17_cds
1,HUMV062211_1_avrpm17_cds
1,HUMV062213_1_avrpm17_cds
1,HUMV062215_1_avrpm17_cds
1,HUMV062226_1_avrpm17_cds
1,HUMV062231_1_avrpm17_cds
1,HUMV062309_1_avrpm17_cds
1,HUSZ062201_1_avrpm17_cds
1,IEKD072305_1_avrpm17_cds
1,IELO072305_1_avrpm17_cds
1,IEME072202_1_avrpm17_cds
1,ISR_13_1_avrpm17_cds
1,ISR_15_1_avrpm17_cds
1,ISR_208_1_avrpm17_cds
1,ISR_219_1_avrpm17_cds
1,ISR_30p_1_avrpm17_cds
1,ISR_43_2_avrpm17_cds
1,ISR_7_1_avrpm17_cds
1,ISR_8_1_avrpm17_cds
1,ISR_94_1_avrpm17_cds
1,ISR_97_1_avrpm17_cds
1,ISR_9_1_avrpm17_cds
1,ITBA022213_2_avrpm17_cds
1,ITBA022222_1_avrpm17_cds
1,ITBA062301_1_avrpm17_cds
1,ITBO052301_1_avrpm17_cds
1,ITBO052302_1_avrpm17_cds
1,ITBO062201_2_avrpm17_cds
1,ITBO062203_1_avrpm17_cds
1,ITBZ042301_1_avrpm17_cds
1,ITCN042301_1_avrpm17_cds
1,ITCN042302_1_avrpm17_cds
1,ITLE042301_1_avrpm17_cds
1,ITLI042201_1_avrpm17_cds
1,ITMA052201_1_avrpm17_cds
1,ITMA052213_1_avrpm17_cds
1,ITSA052301_1_avrpm17_cds
1,ITSA052302_1_avrpm17_cds
1,ITSA052303_1_avrpm17_cds
1,JIW2_1_avrpm17_cds
1,LTKD062206_1_avrpm17_cds
1,LTKD062208_2_avrpm17_cds
1,LTKD062218_1_avrpm17_cds
1,LTKD062220_2_avrpm17_cds
1,LVAI062204_1_avrpm17_cds
1,LVAI062205_1_avrpm17_cds
1,LVAI062233_1_avrpm17_cds
1,LVAI062234_1_avrpm17_cds
1,LVAI062235_1_avrpm17_cds
1,NCSU_EG_02_19_1_avrpm17_cds
1,NCSU_EG_03_02_1_avrpm17_cds
1,NCSU_EG_04_07_1_avrpm17_cds
1,NCSU_EG_05_11_1_avrpm17_cds
1,NCSU_EG_05_17_1_avrpm17_cds
1,NCSU_EG_07_23_1_avrpm17_cds
1,NCSU_EG_08_03_1_avrpm17_cds
1,NCSU_RU_02_11_1_avrpm17_cds
1,NCSU_RU_02_15_1_avrpm17_cds
1,NCSU_TR_01_02_1_avrpm17_cds
1,NCSU_TR_01_18_1_avrpm17_cds
1,NCSU_TR_01_20_1_avrpm17_cds
1,NCSU_TR_02_14_1_avrpm17_cds
1,NCSU_TR_02_20_1_avrpm17_cds
1,NCSU_TR_03_23_1_avrpm17_cds
1,NCSU_TR_04_22_1_avrpm17_cds
1,NCSU_TR_04_23_1_avrpm17_cds
1,NCSU_TR_05_15_1_avrpm17_cds
1,NCSU_TR_05_22_1_avrpm17_cds
1,NCSU_TR_06_10_1_avrpm17_cds
1,NCSU_TR_06_16_1_avrpm17_cds
