"","ITBO062202","GRTH052302","ITSA052303","CZKA052301","ITMA052208","HUMV062350","HUSZ062201","ITSA052302","PLRA082254","GRTH052303","ITBA022201","ITMA052213","ITBA022222","ITMA052201","ITBO062201","ITBA022210","ITLE042301","ITBA022213","ITBA022218","ITBA062301","ESAN032208","PTOD042301","ESCT062211","ESCT052302","ESCT062217","ESCT062219","ESMD052202","ESCT052202","ESMD052201","ESCT062216","ESCT062224","ESCT062226","ESMA052301","ESCT062221","ESCT052307","ESCT052309","ESCT052207","ESMA052302","ESCT062210","ESSA052201","ESSA062301","ESSA052202","ESAN032210","ESAN032214","ESAN032203","ESAN032205","ESAN032212","ESAN032201","ESAN032215","ESAN032226","ESAN042318","ESAN042303","ESAN032216","ESAN032227","ESAN032222","ESAN032225","ESAN032219","ESAN042315","ESAN042310"
"ESAN032208",800.701163255576,354.056384172732,229.804170877082,1327.44073771078,654.054514123566,1108.10068660805,1123.39417773456,229.804170877082,1654.24198218856,353.832882370176,410.515608176506,653.888166513305,410.515608176506,654.054514123566,800.701163255576,410.515608176506,288.611942926517,410.515608176506,410.515608176506,410.494604566813,0,33.6673285738188,482.543233859786,482.543233859786,482.543233859786,482.543233859786,339.548386239477,482.543233859786,340.187253354666,482.543233859786,482.543233859786,482.543233859786,257.872961656564,482.543233859786,482.543233859786,482.543233859786,515.615940891677,257.872961656564,482.543233859786,400.724008661888,397.158810164678,400.724008661888,0,20.7254989509111,0,0,20.7254989509111,0,20.7254989509111,11.5519175027347,11.428367707791,47.5049445257754,20.7254989509111,11.5519175027347,11.5519175027347,11.5519175027347,20.7254989509111,11.428367707791,47.5049445257754
"PTOD042301",767.033834681757,320.389055598914,196.136842303263,1293.77340913696,620.387185549747,1074.43335803423,1089.72684916075,196.136842303263,1620.57465361474,320.165553796357,376.848279602688,620.220837939487,376.848279602688,620.387185549747,767.033834681757,376.848279602688,254.944614352698,376.848279602688,376.848279602688,376.827275992994,33.6673285738188,0,448.875905285967,448.875905285967,448.875905285967,448.875905285967,305.881057665658,448.875905285967,306.519924780847,448.875905285967,448.875905285967,448.875905285967,224.205633082745,448.875905285967,448.875905285967,448.875905285967,481.948612317858,224.205633082745,448.875905285967,367.056680088069,363.491481590859,367.056680088069,33.6673285738188,12.9418296229077,33.6673285738188,33.6673285738188,12.9418296229077,33.6673285738188,12.9418296229077,22.1154110710841,22.2389608660278,13.8376159519566,12.9418296229077,22.1154110710841,22.1154110710841,22.1154110710841,12.9418296229077,22.2389608660278,13.8376159519566
"ESCT062211",318.157929395789,128.486849687054,252.739062982704,844.897503850991,171.51128026378,625.557452748264,640.850943874778,252.739062982704,1171.69874832877,128.71035148961,72.0276256832799,171.344932653519,72.0276256832799,171.51128026378,318.157929395789,72.0276256832799,193.931290933269,72.0276256832799,72.0276256832799,72.0486292929735,482.543233859786,448.875905285967,0,0,0,0,142.994847620309,0,142.35598050512,0,0,0,224.670272203222,0,0,0,33.0727070318909,224.670272203222,0,81.8192251978981,85.3844236951087,81.8192251978981,482.543233859786,461.817734908875,482.543233859786,482.543233859786,461.817734908875,482.543233859786,461.817734908875,470.991316357052,471.114866151995,435.038289334011,461.817734908875,470.991316357052,470.991316357052,470.991316357052,461.817734908875,471.114866151995,435.038289334011
"ESCT052302",318.157929395789,128.486849687054,252.739062982704,844.897503850991,171.51128026378,625.557452748264,640.850943874778,252.739062982704,1171.69874832877,128.71035148961,72.0276256832799,171.344932653519,72.0276256832799,171.51128026378,318.157929395789,72.0276256832799,193.931290933269,72.0276256832799,72.0276256832799,72.0486292929735,482.543233859786,448.875905285967,0,0,0,0,142.994847620309,0,142.35598050512,0,0,0,224.670272203222,0,0,0,33.0727070318909,224.670272203222,0,81.8192251978981,85.3844236951087,81.8192251978981,482.543233859786,461.817734908875,482.543233859786,482.543233859786,461.817734908875,482.543233859786,461.817734908875,470.991316357052,471.114866151995,435.038289334011,461.817734908875,470.991316357052,470.991316357052,470.991316357052,461.817734908875,471.114866151995,435.038289334011
"ESCT062217",318.157929395789,128.486849687054,252.739062982704,844.897503850991,171.51128026378,625.557452748264,640.850943874778,252.739062982704,1171.69874832877,128.71035148961,72.0276256832799,171.344932653519,72.0276256832799,171.51128026378,318.157929395789,72.0276256832799,193.931290933269,72.0276256832799,72.0276256832799,72.0486292929735,482.543233859786,448.875905285967,0,0,0,0,142.994847620309,0,142.35598050512,0,0,0,224.670272203222,0,0,0,33.0727070318909,224.670272203222,0,81.8192251978981,85.3844236951087,81.8192251978981,482.543233859786,461.817734908875,482.543233859786,482.543233859786,461.817734908875,482.543233859786,461.817734908875,470.991316357052,471.114866151995,435.038289334011,461.817734908875,470.991316357052,470.991316357052,470.991316357052,461.817734908875,471.114866151995,435.038289334011
"ESCT062219",318.157929395789,128.486849687054,252.739062982704,844.897503850991,171.51128026378,625.557452748264,640.850943874778,252.739062982704,1171.69874832877,128.71035148961,72.0276256832799,171.344932653519,72.0276256832799,171.51128026378,318.157929395789,72.0276256832799,193.931290933269,72.0276256832799,72.0276256832799,72.0486292929735,482.543233859786,448.875905285967,0,0,0,0,142.994847620309,0,142.35598050512,0,0,0,224.670272203222,0,0,0,33.0727070318909,224.670272203222,0,81.8192251978981,85.3844236951087,81.8192251978981,482.543233859786,461.817734908875,482.543233859786,482.543233859786,461.817734908875,482.543233859786,461.817734908875,470.991316357052,471.114866151995,435.038289334011,461.817734908875,470.991316357052,470.991316357052,470.991316357052,461.817734908875,471.114866151995,435.038289334011
"ESMD052202",461.152777016098,14.5079979332551,109.744215362395,987.8923514713,314.506127884089,768.552300368573,783.845791495087,109.744215362395,1314.69359594908,14.2844961306989,70.9672219370291,314.339780273828,70.9672219370291,314.506127884089,461.152777016098,70.9672219370291,50.9364433129603,70.9672219370291,70.9672219370291,70.9462183273356,339.548386239477,305.881057665658,142.994847620309,142.994847620309,142.994847620309,142.994847620309,0,142.994847620309,0.638867115188603,142.994847620309,142.994847620309,142.994847620309,81.6754245829133,142.994847620309,142.994847620309,142.994847620309,176.0675546522,81.6754245829133,142.994847620309,61.175622422411,57.6104239252004,61.175622422411,339.548386239477,318.822887288566,339.548386239477,339.548386239477,318.822887288566,339.548386239477,318.822887288566,327.996468736743,328.120018531686,292.043441713702,318.822887288566,327.996468736743,327.996468736743,327.996468736743,318.822887288566,328.120018531686,292.043441713702
"ESCT052202",318.157929395789,128.486849687054,252.739062982704,844.897503850991,171.51128026378,625.557452748264,640.850943874778,252.739062982704,1171.69874832877,128.71035148961,72.0276256832799,171.344932653519,72.0276256832799,171.51128026378,318.157929395789,72.0276256832799,193.931290933269,72.0276256832799,72.0276256832799,72.0486292929735,482.543233859786,448.875905285967,0,0,0,0,142.994847620309,0,142.35598050512,0,0,0,224.670272203222,0,0,0,33.0727070318909,224.670272203222,0,81.8192251978981,85.3844236951087,81.8192251978981,482.543233859786,461.817734908875,482.543233859786,482.543233859786,461.817734908875,482.543233859786,461.817734908875,470.991316357052,471.114866151995,435.038289334011,461.817734908875,470.991316357052,470.991316357052,470.991316357052,461.817734908875,471.114866151995,435.038289334011
"ESMD052201",460.51390990091,13.8691308180665,110.383082477584,987.253484356111,313.8672607689,767.913433253385,783.206924379898,110.383082477584,1314.0547288339,13.6456290155103,70.3283548218405,313.700913158639,70.3283548218405,313.8672607689,460.51390990091,70.3283548218405,51.5753104281489,70.3283548218405,70.3283548218405,70.307351212147,340.187253354666,306.519924780847,142.35598050512,142.35598050512,142.35598050512,142.35598050512,0.638867115188603,142.35598050512,0,142.35598050512,142.35598050512,142.35598050512,82.3142916981019,142.35598050512,142.35598050512,142.35598050512,175.428687537011,82.3142916981019,142.35598050512,60.5367553072224,56.9715568100118,60.5367553072224,340.187253354666,319.461754403755,340.187253354666,340.187253354666,319.461754403755,340.187253354666,319.461754403755,328.635335851931,328.758885646875,292.68230882889,319.461754403755,328.635335851931,328.635335851931,328.635335851931,319.461754403755,328.758885646875,292.68230882889
"ESCT062216",318.157929395789,128.486849687054,252.739062982704,844.897503850991,171.51128026378,625.557452748264,640.850943874778,252.739062982704,1171.69874832877,128.71035148961,72.0276256832799,171.344932653519,72.0276256832799,171.51128026378,318.157929395789,72.0276256832799,193.931290933269,72.0276256832799,72.0276256832799,72.0486292929735,482.543233859786,448.875905285967,0,0,0,0,142.994847620309,0,142.35598050512,0,0,0,224.670272203222,0,0,0,33.0727070318909,224.670272203222,0,81.8192251978981,85.3844236951087,81.8192251978981,482.543233859786,461.817734908875,482.543233859786,482.543233859786,461.817734908875,482.543233859786,461.817734908875,470.991316357052,471.114866151995,435.038289334011,461.817734908875,470.991316357052,470.991316357052,470.991316357052,461.817734908875,471.114866151995,435.038289334011
