"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"DEHO062215",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193326,0.31842972069199,13.7033312812485,-27.014864190626,-31.6576007369202,-27.2978301954116,14.4504546191704
"DEHO062232",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193326,0.318429720691986,13.7033312812487,-27.014864190626,-31.6576007369202,-27.2978301954114,14.4504546191704
"DEHO062233",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193326,0.318429720691968,13.7033312812486,-27.0148641906259,-31.6576007369205,-27.2978301954118,14.4504546191707
"DEHO062240",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193325,0.318429720691931,13.7033312812486,-27.0148641906259,-31.6576007369203,-27.2978301954116,14.4504546191709
"DEHO062314",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193325,0.318429720691938,13.7033312812486,-27.0148641906259,-31.6576007369204,-27.2978301954117,14.4504546191707
"DEHO062320",-686.077212083826,-87.4018530541282,-29.7728971974696,-54.6681274193326,0.318429720691876,13.7033312812486,-27.0148641906259,-31.6576007369204,-27.2978301954117,14.4504546191707
"DELO042201",-723.516741710782,-94.7139693648418,-43.3417328988918,-39.3173981704823,4.31765925863821,12.1257386323079,-16.5854162955714,-16.7753856304988,-0.70452651139477,-25.444112525056
"DELO042203",-723.516741710782,-94.7139693648418,-43.3417328988919,-39.3173981704823,4.31765925863838,12.125738632308,-16.5854162955714,-16.7753856304986,-0.704526511394765,-25.4441125250559
"DELO042204",-723.516741710782,-94.7139693648418,-43.3417328988918,-39.3173981704824,4.31765925863824,12.1257386323079,-16.5854162955715,-16.7753856304986,-0.704526511394737,-25.4441125250559
"DELO042205",-723.516741710782,-94.7139693648418,-43.3417328988918,-39.3173981704823,4.31765925863817,12.1257386323079,-16.5854162955714,-16.7753856304986,-0.704526511394722,-25.4441125250558
"DELW052301",-868.471784563,-124.054214263585,-87.8240747375459,-29.7120179224012,-30.1719764143486,-7.10270484198452,48.7304407108879,1.01915814458879,35.2509701598129,-4.35229264203021
"DELW052304",-868.471784563,-124.054214263585,-87.8240747375459,-29.7120179224012,-30.1719764143487,-7.10270484198457,48.7304407108877,1.01915814458883,35.2509701598128,-4.3522926420303
"DELW052307",-868.471784563001,-124.054214263585,-87.8240747375459,-29.7120179224012,-30.1719764143485,-7.10270484198464,48.7304407108877,1.01915814458895,35.2509701598129,-4.35229264203038
"DKES062203",-1248.60486603372,-290.256124817487,-207.574264286424,181.628041814661,88.7345681506048,114.312273154847,-58.4982617253529,-32.4562157691613,-49.6939832607787,-81.5882421376259
"ESAN032201",187.228244210361,-306.872397559622,226.806702025398,206.343476085218,-95.8233546023875,-19.1556319428034,-0.44843301593384,-18.0838650289285,11.2419232156628,16.2001119263485
"ESAN032203",187.228244210361,-306.872397559622,226.806702025398,206.343476085218,-95.8233546023875,-19.1556319428034,-0.448433015933871,-18.0838650289285,11.2419232156628,16.2001119263485
"ESAN032205",187.228244210361,-306.872397559622,226.806702025398,206.343476085218,-95.8233546023875,-19.1556319428034,-0.448433015933924,-18.0838650289285,11.2419232156628,16.2001119263485
"ESAN032208",187.228244210361,-306.872397559622,226.806702025398,206.343476085217,-95.8233546023875,-19.1556319428034,-0.448433015933906,-18.0838650289285,11.2419232156628,16.2001119263485
"ESAN032210",187.228244210361,-306.872397559622,226.806702025398,206.343476085218,-95.8233546023875,-19.1556319428034,-0.448433015933855,-18.0838650289285,11.2419232156628,16.2001119263484
"ESAN032212",187.228244210361,-306.872397559622,226.806702025398,206.343476085218,-95.8233546023875,-19.1556319428034,-0.448433015933934,-18.0838650289285,11.2419232156627,16.2001119263485
"ESAN032214",187.228244210361,-306.872397559622,226.806702025398,206.343476085217,-95.8233546023875,-19.1556319428034,-0.448433015933861,-18.0838650289285,11.2419232156628,16.2001119263486
"ESAN032215",187.228244210361,-306.872397559622,226.806702025398,206.343476085217,-95.8233546023874,-19.1556319428034,-0.448433015933868,-18.0838650289285,11.2419232156627,16.2001119263485
"ESAN032216",187.228244210361,-306.872397559622,226.806702025398,206.343476085218,-95.8233546023874,-19.1556319428034,-0.44843301593394,-18.0838650289285,11.2419232156627,16.2001119263486
"ESAN032219",187.228244210361,-306.872397559622,226.806702025398,206.343476085217,-95.8233546023874,-19.1556319428034,-0.448433015933994,-18.0838650289286,11.2419232156626,16.2001119263486
"ESAN032222",161.801570036593,-332.653982938737,249.093837046649,205.785420042619,-115.172000636719,-55.9948331052494,-6.23175039726561,-23.1508039946548,13.5906412958452,-20.6196758576131
"ESAN032225",161.801570036593,-332.653982938737,249.093837046649,205.785420042619,-115.172000636719,-55.9948331052494,-6.23175039726565,-23.1508039946548,13.5906412958451,-20.619675857613
"ESAN032226",161.801570036593,-332.653982938737,249.093837046649,205.785420042619,-115.172000636719,-55.9948331052494,-6.23175039726568,-23.1508039946549,13.5906412958451,-20.6196758576129
"ESAN032227",161.801570036593,-332.653982938737,249.093837046649,205.785420042619,-115.172000636719,-55.9948331052494,-6.23175039726564,-23.1508039946549,13.5906412958451,-20.619675857613
"ESAN042303",139.39750027324,-294.695391946565,211.42249835186,199.93660520034,-124.368610136433,-13.618674455774,-17.9408886306587,-6.59622001978553,27.9608435059015,-38.4100190931193
"ESAN042310",139.39750027324,-294.695391946565,211.42249835186,199.93660520034,-124.368610136433,-13.618674455774,-17.9408886306587,-6.59622001978551,27.9608435059015,-38.4100190931194
"ESAN042315",161.801570036593,-332.653982938737,249.093837046649,205.785420042619,-115.172000636719,-55.9948331052494,-6.23175039726559,-23.1508039946549,13.5906412958452,-20.619675857613
"ESAN042318",161.801570036593,-332.653982938737,249.093837046649,205.785420042619,-115.172000636719,-55.9948331052494,-6.23175039726562,-23.1508039946548,13.5906412958452,-20.6196758576129
"ESCT052202",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529727,-5.04748100924171,104.945809753607,14.3179577934615,-2.76560885420707,-47.4996469182183
"ESCT052207",-197.672978745865,-173.770310196522,155.200301395359,48.5314640442711,112.133460716602,-21.2421518403202,94.9194831772289,42.9207836855844,-2.39460639020909,-40.0441087358055
"ESCT052302",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.04748100924167,104.945809753607,14.3179577934614,-2.76560885420705,-47.4996469182181
"ESCT052307",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.04748100924168,104.945809753607,14.3179577934613,-2.76560885420701,-47.4996469182181
"ESCT052309",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.04748100924171,104.945809753607,14.3179577934614,-2.76560885420702,-47.4996469182181
"ESCT062210",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.0474810092417,104.945809753607,14.3179577934614,-2.765608854207,-47.4996469182182
"ESCT062211",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.0474810092417,104.945809753607,14.3179577934613,-2.76560885420703,-47.4996469182181
"ESCT062216",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.04748100924171,104.945809753607,14.3179577934613,-2.76560885420698,-47.4996469182181
"ESCT062217",-160.3864445437,-182.200169000162,158.319426349469,60.9218800356439,92.7503485529726,-5.04748100924177,104.945809753607,14.3179577934614,-2.76560885420698,-47.4996469182181
"ESCT062219",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.04748100924174,104.945809753607,14.3179577934614,-2.76560885420697,-47.4996469182181
"ESCT062221",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529725,-5.04748100924175,104.945809753607,14.3179577934614,-2.76560885420694,-47.4996469182182
"ESCT062224",-160.3864445437,-182.200169000162,158.319426349469,60.9218800356439,92.7503485529726,-5.04748100924173,104.945809753607,14.3179577934614,-2.76560885420695,-47.4996469182181
"ESCT062226",-160.3864445437,-182.200169000162,158.319426349469,60.921880035644,92.7503485529726,-5.04748100924172,104.945809753607,14.3179577934614,-2.76560885420694,-47.4996469182181
"ESMA052301",64.5853110209801,-188.043530271496,186.050346865018,115.789905166091,-56.944926938146,93.4610673724335,36.3536895557795,-51.4157355728387,-9.36026718241346,-2.78408717756894
"ESMA052302",64.5853110209801,-188.043530271496,186.050346865018,115.789905166091,-56.944926938146,93.4610673724335,36.3536895557794,-51.4157355728386,-9.36026718241347,-2.78408717756893
"ESMD052201",-91.1379870406943,-218.515276614586,177.597411870615,109.333278734189,17.4799860145402,2.03249851384207,68.9980659357329,4.59522347714074,17.4919832791231,-60.7783890198579
"ESMD052202",-91.1379870406943,-218.515276614586,177.597411870615,109.333278734189,17.4799860145402,2.03249851384205,68.9980659357329,4.59522347714076,17.4919832791232,-60.7783890198579
"ESSA052201",-150.275217233779,-218.396675227727,166.322401037717,106.092351206674,54.8721135444158,-13.1571542765934,82.0707145864931,24.2714227547589,9.53908379271088,-54.3668629912995
"ESSA052202",-150.275217233779,-218.396675227727,166.322401037717,106.092351206674,54.8721135444158,-13.1571542765934,82.0707145864932,24.2714227547589,9.53908379271088,-54.3668629912994
"ESSA062301",-150.275217233779,-218.396675227727,166.322401037717,106.092351206674,54.8721135444158,-13.1571542765934,82.0707145864932,24.2714227547588,9.53908379271087,-54.3668629912995
"FRBE052201",-431.366469106071,-168.540519290522,87.0463472449583,30.0419484042422,77.8892240342356,-51.8864566104675,-50.6300878855549,63.8683243107607,-20.5128780536826,59.910727926425
"FRBE052202",-431.366469106072,-168.540519290523,87.0463472449583,30.0419484042421,77.8892240342356,-51.8864566104676,-50.630087885555,63.8683243107609,-20.5128780536827,59.9107279264248
