"isolate","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","ID","Continent","Country","Region","Strain","Collection","Latitude","Longitude","Year.of.Collection","Pot.Field","Host","Status_world","Status_ext_eur","Status_recent_ext_eur","fs_level1","fs_level2","fs_level3","fs_level4","fs_level5","fs_level6","fs_level7","fs_level8","anc1","anc2","anc3","anc4","anc5","anc6","anc7","Mating.type"
"NCSU_TR_04_06",14.7782043554872,2.02590209725065,3.13099427017519,30.7951854111359,-6.92157838126489,-6.37594321712864,-5.72424211038058,2.68367301152233,15.7661909781579,12.5408629344092,"SRR19456589","Asia","Turkey","Edirne","tritici","NCSU",41.65,26.54,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS",0.221086,1e-05,1e-05,1e-05,0.778864,1e-05,1e-05,"1_2_1"
"NCSU_TR_04_08",15.7422205316226,2.12515256674384,3.21648483968566,32.2643640728373,-9.00200951915008,-8.05329883999695,-12.3322795848149,-3.13424396963139,10.9387796466246,-6.48338965227175,"SRR19456588","Asia","Turkey","Edirne","tritici","NCSU",41.65,26.54,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS",0.193582,1e-05,1e-05,1e-05,0.803262,1e-05,0.003116,"1_1_3"
"NCSU_TR_04_09",19.6424207430875,4.01513219692399,5.05982640440457,32.6455805018155,-9.28422183347864,-8.17791513563286,-0.881499194184134,-6.33626882183273,2.32631863412212,21.0169942077912,"SRR19456587","Asia","Turkey","Edirne","tritici","NCSU",41.65,26.54,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS",0.156867,0.064627,1e-05,1e-05,0.778466,1e-05,1e-05,"1_2_1"
"NCSU_TR_04_10",99.6082073652503,-70.9795658806215,63.540017463936,-43.7824950797048,-8.52433139370384,26.242552565948,-35.8134698109802,5.69303981473701,1.63146448531406,3.81515280839154,"SRR19456496","Asia","Turkey","Adana","tritici","NCSU",36.95,35.38,"2017","","","Included","Included","Included","S_Europe_ME","ME","TR_ISR","Turkey1","Turkey1","Turkey1","Turkey_admx","Turkey1",1e-05,1e-05,1e-05,0.484425,1e-05,1e-05,0.515525,"1_1_3"
"NCSU_TR_04_17",18.3279036726034,5.09797956371194,9.04612796963128,58.2917315748306,-22.1501972601487,-19.4339604453577,-14.7319872659358,55.3116468703344,-9.08220778080086,17.9306829624487,"SRR19456402","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey3","Turkey7",1e-05,1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,"1_1_3"
"NCSU_TR_04_19",105.861359250255,-35.6543957782607,173.323226628572,-62.2681453738934,1.20526120197149,27.4716380153236,-54.8455820957909,7.66109994736946,5.4412988823976,4.91922426668189,"SRR19456495","Asia","Turkey","Adana","tritici","NCSU",36.95,35.38,"2017","","","Included","Included","Included","S_Europe_ME","ME","TR_ISR","Turkey1","Turkey1","Turkey1","Turkey_admx","Turkey2",1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05,"1_2_1"
"NCSU_TR_04_22",23.977091330157,0.657451751781928,12.6581336902809,45.8737541372864,-12.5566551085239,-20.2104539526341,-5.49473028421789,39.3428862327487,-3.55019175500868,36.7147555284579,"SRR19456401","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS","Turkey8",0.094951,1e-05,1e-05,0.031915,0.864033,1e-05,0.009071,"1_1_3"
"NCSU_TR_04_23",20.9881276687929,1.54704637141863,9.77607467192234,55.08001473374,-21.9474543948254,-15.8235190426209,-25.3444873798173,55.0977876097482,-25.4576639493357,-53.6609417387236,"SRR19456400","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey3","Turkey6",0.03736,1e-05,0.000367,1e-05,0.962233,1e-05,1e-05,"1_2_1"
"NCSU_TR_04_24",11.417638596666,-0.906549460791012,5.95308911967006,30.9292589589698,-8.81081601394023,-6.84422093733573,-12.0006148541953,-4.79687936272413,11.0465042418331,-3.01207733780205,"SRR19456585","Asia","Turkey","Edirne","tritici","NCSU",41.65,26.54,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS","TUR_RUS",0.281648,0.00813,1e-05,0.02388,0.66424,1e-05,0.022081,"1_2_1"
"NCSU_TR_05_01",88.8756586816697,-19.0022783796296,111.763822706721,-22.7119761803476,0.831470078046168,4.67851320454431,5.83177068888825,-2.81942214839334,2.23264435132788,6.23713831510656,"SRR19456494","Asia","Turkey","Adana","tritici","NCSU",36.95,35.38,"2017","","","Included","Included","Included","S_Europe_ME","ME","TR_ISR","TR_ISR","TR_ISR","TR_ISR","TR_ISR_admx","TR_ISR",1e-05,1e-05,1e-05,0.99994,1e-05,1e-05,1e-05,"1_2_1"
"NCSU_TR_05_02",22.6646900248593,0.0376477414771704,7.21095104019605,50.8227107424807,-9.91168868802934,-23.9679078325545,-6.14655242203016,31.8895254732094,27.0705057466101,130.437427057062,"SRR19456399","Asia","Turkey","Eskisehir","tritici","NCSU",39.8,30.55,"2017","","","Included","Included","Included","S_Europe_ME","S_Europe_ME","S_Europe_ME","TUR_RUS","Turkey2","Turkey2","Turkey2","Turkey3",0.070859,1e-05,1e-05,1e-05,0.929091,1e-05,1e-05,"1_1_3"
