name,global_region
DEHO062206,Northern Europe
DEHO062208,Northern Europe
DEHO062211,Northern Europe
DEHO062214,Northern Europe
DEHO062215,Northern Europe
DEHO062232,Northern Europe
DEHO062233,Northern Europe
DEHO062240,Northern Europe
DEHO062314,Northern Europe
DEHO062320,Northern Europe
DELO042201,Northern Europe
DELO042203,Northern Europe
DELO042204,Northern Europe
DELO042205,Northern Europe
DELW052301,Northern Europe
DELW052304,Northern Europe
DELW052307,Northern Europe
DKES062203,Northern Europe
SEAB072243,Northern Europe
SEAB072246,Northern Europe
SEUP072201,Northern Europe
SEUP072203,Northern Europe
SEUP072204,Northern Europe
LTKD062206,Northern Europe
LTKD062208,Northern Europe
LTKD062215,Northern Europe
LTKD062218,Northern Europe
LTKD062220,Northern Europe
LVAI062204,Northern Europe
LVAI062205,Northern Europe
LVAI062232,Northern Europe
LVAI062233,Northern Europe
LVAI062234,Northern Europe
LVAI062235,Northern Europe
CHE_07224,Northern Europe
CHE_07227,Northern Europe
CHE_07230,Northern Europe
CHE_07234,Northern Europe
CHE_07298,Northern Europe
CHE_10001,Northern Europe
CHE_7004,Northern Europe
CHE_96229,Northern Europe
CHE_96249,Northern Europe
CHE_97223,Northern Europe
CHE_97266,Northern Europe
CHE_98013,Northern Europe
CHE_98230,Northern Europe
CHE_98250,Northern Europe
94202,Northern Europe
96224,Northern Europe
FRA_ASOSAN_95_9,Northern Europe
FRA_B_STONE_95_45,Northern Europe
FRA_MERCIA_COKER_98_25,Northern Europe
FRA_MISSION_96_19,Northern Europe
FRA_M_DOVE_94_10,Northern Europe
POL_1,Northern Europe
POL_3,Northern Europe
POL_5,Northern Europe
POL_6,Northern Europe
JIW2,Northern Europe
GBR_JIW11,Northern Europe
GBR_JIW48,Northern Europe
GBR_WC1110,Northern Europe
CZKA042201,Northern Europe
CZKA042204,Northern Europe
CZKA042205,Northern Europe
CZKA052301,Northern Europe
CZKA052302,Northern Europe
CZPR052201,Northern Europe
CZPR052202,Northern Europe
CZPR052203,Northern Europe
CZPR052204,Northern Europe
CZPR052205,Northern Europe
CZUH042202,Northern Europe
CZUH042203,Northern Europe
CZUH042204,Northern Europe
CZUH042205,Northern Europe
CZUH042206,Northern Europe
CZUH052301,Northern Europe
CZUH052302,Northern Europe
PLBA092301,Northern Europe
PLBA092305,Northern Europe
PLBI082201,Northern Europe
PLCZ072206,Northern Europe
PLCZ072210,Northern Europe
PLCZ072212,Northern Europe
PLCZ072215,Northern Europe
PLCZ072305,Northern Europe
PLCZ072306,Northern Europe
PLKB092305,Northern Europe
PLKO082237,Northern Europe
PLKO082242,Northern Europe
PLKO082243,Northern Europe
PLNA082247,Northern Europe
PLNA082249,Northern Europe
PLRA082254,Northern Europe
PLRA082257,Northern Europe
PLRA082270,Northern Europe
PLRA092320,Northern Europe
PLRA092321,Northern Europe
PLRA092322,Northern Europe
PLSK082271,Northern Europe
PLSK082274,Northern Europe
PLSK082276,Northern Europe
PLSK092301,Northern Europe
PLSK092305,Northern Europe
PLSM082283,Northern Europe
PLSM082285,Northern Europe
PLSM082286,Northern Europe
PLSM092311,Northern Europe
HUMV062206,Northern Europe
HUMV062211,Northern Europe
HUMV062213,Northern Europe
HUMV062215,Northern Europe
HUMV062226,Northern Europe
HUMV062227,Northern Europe
HUMV062231,Northern Europe
HUMV062309,Northern Europe
HUMV062323,Northern Europe
